Sample name,U,S,L,R,P,EB2,EB3,EB4,FunctionalAssay,CellNo.Norm_2,CellNo.Norm_4,CellNo.Norm_6,CellNo.Raw_2,CellNo.Raw_4,CellNo.Raw_6,Prolif_2,Prolif_4,Prolif_6,Apoptosis_2,Apoptosis_4,Apoptosis_6,Morphology,Rex1,Oct4,Dnmt3b,Fgf5,Lefty2,Otx2,Mixl1
E140 L+R+P+S,0,1,1,1,1,,,,,0.13,,,1.93E+06,,,39.6,50.3,,27.95,16.46,,,,,,,,,
E140 L+R+S,0,1,1,1,0,,,,,0.12,,,1.73E+06,,,46.8,57.9,53.8,24.21,18.58,17.44,0.53338818,0.175045486,0.029982866,-1.210896782,-3.698997744,0.425459305,1.515005916,-0.560642822
E140 L+S,0,1,1,0,0,0.263034406,4.393347551,7.598335427,12.25471738,0.88,0.61,1.12,1.32E+07,5.90E+06,9.60E+06,63.9,65.3,70,22.12,34.2,25.65,0.517281106,0.35952117,-0.045431429,-0.40545145,4.789990019,0.759581973,3.110029093,-5.878321443
E140 L+U,1,0,1,0,0,2.263334936,7.993334704,5.468322644,15.72499228,0.61,1.15,1.13,9.20E+06,1.10E+07,9.70E+06,70.5,72.2,73.7,21.17,14.12,27.72,1.139067599,-0.887648909,0.015437104,1.997656688,3.175019029,-0.037364853,2.027480659,-1.460585796
E140 L+U+P,1,0,1,0,1,1.32308179,4.733354341,7.408329741,13.46476587,0.48,0.47,0.64,7.20E+06,4.50E+06,5.50E+06,74.4,67,70,15.72,18.13,35.01,1.093045843,-0.899695094,-0.095419565,1.015069322,3.769983263,-0.325539348,2.569977093,-5.878321443
E140 L+U+P+S,1,1,1,0,1,,,,,0.37,0.26,0.24,5.60E+06,2.53E+06,2.06E+06,69.4,68.4,56.9,33.06,25.3,24.72,0.432026144,,,,,,,
E140 L+U+R,1,0,1,1,0,,,,,0.15,,,2.27E+06,,,22.1,51.5,,29.27,13.62,0,,,,,,,,
E140 L+U+R+P,1,0,1,1,1,,,,,0.11,,,1.65E+06,,,24,39.4,,49.7,29.92,,,,,,,,,
E140 L+U+R+P+S,1,1,1,1,1,,,,,0.1,0.13,,1.47E+06,1.20E+06,,31.7,33.4,44.1,36.6,24.93,25.86,0.76042885,,,,,,,
E140 L+U+R+S,1,1,1,1,0,,,,,0.13,,,1.92E+06,,,41.9,34.8,,35.43,33.41,,,,,,,,,
E140 L+U+S,1,1,1,0,0,,,,,0.48,0.77,0.81,7.20E+06,7.40E+06,7.00E+06,67.9,64.6,63.9,9.34,10.7,26.83,0.157859532,0.41467678,1.015069322,-0.045431429,3.945045797,1.719840555,3.985044962,-0.805912948
