Response,Predicted,Exp,ModelType
78067489093,76086977871,Prolif_Power_6,BRANN
1.24E+11,1.33E+11,Prolif_Power_6,BRANN
1.04E+11,98527405900,Prolif_Power_6,BRANN
66338671804,71312412109,Prolif_Power_6,BRANN
1.66E+11,1.57E+11,Prolif_Power_6,BRANN
1.08E+11,1.00E+11,Prolif_Power_6,BRANN
1.10E+11,89181260956,Prolif_Power_6,BRANN
1.46E+11,1.39E+11,Prolif_Power_6,BRANN
84933920325,1.01E+11,Prolif_Power_6,BRANN
80425212553,81408563494,Prolif_Power_6,BRANN
89450499526,1.16E+11,Prolif_Power_6,BRANN
63121332086,53464425759,Prolif_Power_6,BRANN
47124508325,51129982095,Prolif_Power_6,BRANN
83660889657,1.08E+11,Prolif_Power_6,BRANN
35953419175,49599994061,Prolif_Power_6,BRANN
7,7.675816237,Prolif_Ntile_8,BRANN
7,6.698256006,Prolif_Ntile_8,BRANN
6,5.991530082,Prolif_Ntile_8,BRANN
1,3.588711798,Prolif_Ntile_8,BRANN
1,2.655336193,Prolif_Ntile_8,BRANN
7,7.535885595,Prolif_Ntile_8,BRANN
7,6.481272825,Prolif_Ntile_8,BRANN
5,5.672061981,Prolif_Ntile_8,BRANN
8,6.901454346,Prolif_Ntile_8,BRANN
4,4.293241883,Prolif_Ntile_8,BRANN
4,3.252158151,Prolif_Ntile_8,BRANN
1,1.589106432,Prolif_Ntile_8,BRANN
1,1.243329978,Prolif_Ntile_8,BRANN
7,6.240626415,Prolif_Ntile_8,BRANN
4,3.910489791,Prolif_Ntile_8,BRANN
3,2.915102201,Prolif_Ntile_8,BRANN
3,7.245017267,Prolif_Ntile_8,BRANN
5,5.125284292,Prolif_Ntile_8,BRANN
5,4.070961207,Prolif_Ntile_8,BRANN
1,2.000066463,Prolif_Ntile_8,BRANN
1,1.503130486,Prolif_Ntile_8,BRANN
8,6.78530536,Prolif_Ntile_8,BRANN
6,4.7576452,Prolif_Ntile_8,BRANN
4,3.69263496,Prolif_Ntile_8,BRANN
6,5.439252589,Prolif_Ntile_8,BRANN
1,2.459981686,Prolif_Ntile_8,BRANN
3,1.806746572,Prolif_Ntile_8,BRANN
1,1.052993685,Prolif_Ntile_8,BRANN
1,0.927529303,Prolif_Ntile_8,BRANN
6,4.392807325,Prolif_Ntile_8,BRANN
2,2.198344992,Prolif_Ntile_8,BRANN
2,1.629990291,Prolif_Ntile_8,BRANN
8,7.649882173,Prolif_Ntile_8,BRANN
7,6.460609552,Prolif_Ntile_8,BRANN
5,5.637321843,Prolif_Ntile_8,BRANN
8,7.435738795,Prolif_Ntile_8,BRANN
7,6.196120493,Prolif_Ntile_8,BRANN
5,5.28745229,Prolif_Ntile_8,BRANN
8,6.671281882,Prolif_Ntile_8,BRANN
3,3.87090735,Prolif_Ntile_8,BRANN
2,2.881111241,Prolif_Ntile_8,BRANN
5,5.910076583,Prolif_Ntile_8,BRANN
5,3.498788047,Prolif_Ntile_8,BRANN
3,2.574984052,Prolif_Ntile_8,BRANN
7,7.096946738,Prolif_Ntile_8,BRANN
6,4.720063556,Prolif_Ntile_8,BRANN
4,3.653687231,Prolif_Ntile_8,BRANN
6,6.534275481,Prolif_Ntile_8,BRANN
5,4.337142184,Prolif_Ntile_8,BRANN
3,3.291427086,Prolif_Ntile_8,BRANN
4,5.038621065,Prolif_Ntile_8,BRANN
3,2.172756638,Prolif_Ntile_8,BRANN
2,1.612944781,Prolif_Ntile_8,BRANN
2,3.966765912,Prolif_Ntile_8,BRANN
2,1.945689455,Prolif_Ntile_8,BRANN
2,1.465403058,Prolif_Ntile_8,BRANN
8,7.653109721,Prolif_Ntile_8,BRANN
8,6.529427138,Prolif_Ntile_8,BRANN
6,5.742677333,Prolif_Ntile_8,BRANN
8,7.466109439,Prolif_Ntile_8,BRANN
7,6.28064778,Prolif_Ntile_8,BRANN
6,5.401277693,Prolif_Ntile_8,BRANN
8,6.741158868,Prolif_Ntile_8,BRANN
