ExpCode,Condition,n colonies [ES phenotye],n colonies [partial differentiation phenotye],n colonies [full differentiation phenotye],Total number of colonies, % [ES phenotye],% [partial differentiation phenotye],% [full differentiation phenotye],Morphology Value [((C + D*2 + E*3)/F)-1],Averaged values,Corresponding Images,Randomization code
E142,U+P+S,15,10,0,25,60.0,40.0,0.0,0.4000,0.2581,E142_D6_3i_U+P+S_30JAN18_10x_1.tif,000391_406.tif
E142,U+P+S,21,4,0,25,84.0,16.0,0.0,0.1600,,E142_D6_3i_U+P+S_30JAN18_10x_2.tif,000196_407.tif
E142,U+P+S,22,6,0,28,78.6,21.4,0.0,0.2143,,E142_D6_3i_U+P+S_30JAN18_10x_3.tif,000389_408.tif
E116,U+R,16,10,0,26,61.5,38.5,0.0,0.3846,0.4125,E116_D6_2i_UO+Rapa_10x_1.jpg,0000337_43.jpg
E116,U+R,8,8,0,16,50.0,50.0,0.0,0.5000,,E116_D6_2i_UO+Rapa_10x_2.jpg,0000020_44.jpg
E116,U+R,11,6,0,17,64.7,35.3,0.0,0.3529,,E116_D6_2i_UO+Rapa_10x_3.jpg,0000170_45.jpg
E133,U+R,16,6,0,22,72.7,27.3,0.0,0.2727,0.3999,E133_D3P37_D6_2i_U+R_10x_1.tif,000258_118.tif
E133,U+R,14,9,0,23,60.9,39.1,0.0,0.3913,,E133_D3P37_D6_2i_U+R_10x_2.tif,000427_119.tif
E133,U+R,13,15,0,28,46.4,53.6,0.0,0.5357,,E133_D3P37_D6_2i_U+R_10x_3.tif,000319_120.tif
E136,U+R,17,8,0,25,68.0,32.0,0.0,0.3200,0.5505,E136_D6_2i_U+R_10x_1.tif,000365_202.tif
E136,U+R,10,6,0,16,62.5,37.5,0.0,0.3750,,E136_D6_2i_U+R_10x_2.tif,000002_203.tif
E136,U+R,1,22,0,23,4.3,95.7,0.0,0.9565,,E136_D6_2i_U+R_10x_3.tif,000072_204.tif
E140,U+R,12,14,0,26,46.2,53.8,0.0,0.5385,0.3523,E140_D6_2i_U+R_19NOV17_10x_1.tif,000230_289.tif
E140,U+R,22,5,0,27,81.5,18.5,0.0,0.1852,,E140_D6_2i_U+R_19NOV17_10x_2.tif,000351_290.tif
E140,U+R,20,10,0,30,66.7,33.3,0.0,0.3333,,E140_D6_2i_U+R_19NOV17_10x_3.tif,000086_291.tif
E142,U+R,19,12,0,31,61.3,38.7,0.0,0.3871,0.2782,E142_D6_2i_U+R_30JAN18_10x_1.tif,000195_388.tif
E142,U+R,33,9,0,42,78.6,21.4,0.0,0.2143,,E142_D6_2i_U+R_30JAN18_10x_2.tif,000321_389.tif
E142,U+R,23,7,0,30,76.7,23.3,0.0,0.2333,,E142_D6_2i_U+R_30JAN18_10x_3.tif,000194_390.tif
E116,U+R+P,19,11,0,30,63.3,36.7,0.0,0.3667,0.4470,E116_D6_3i_UO+Rapa+PF_10x_1.jpg,0000275_73.jpg
E116,U+R+P,6,12,0,18,33.3,66.7,0.0,0.6667,,E116_D6_3i_UO+Rapa+PF_10x_2.jpg,0000191_74.jpg
E116,U+R+P,18,8,0,26,69.2,30.8,0.0,0.3077,,E116_D6_3i_UO+Rapa+PF_10x_3.jpg,0000148_75.jpg
E136,U+R+P,12,21,0,33,36.4,63.6,0.0,0.6364,0.6096,E136_D6_3i_U+R+P_10x_1.tif,000169_220.tif
E136,U+R+P,4,9,0,13,30.8,69.2,0.0,0.6923,,E136_D6_3i_U+R+P_10x_2.tif,000019_221.tif
E136,U+R+P,15,12,1,28,53.6,42.9,3.6,0.5000,,E136_D6_3i_U+R+P_10x_3.tif,000299_222.tif
E140,U+R+P,14,21,0,35,40.0,60.0,0.0,0.6000,0.5014,E140_D6_3i_U+R+P_19NOV17_10x_1.tif,000385_316.tif
E140,U+R+P,18,14,0,32,56.3,43.8,0.0,0.4375,,E140_D6_3i_U+R+P_19NOV17_10x_2.tif,000077_317.tif
E140,U+R+P,16,14,0,30,53.3,46.7,0.0,0.4667,,E140_D6_3i_U+R+P_19NOV17_10x_3.tif,000175_318.tif
E142,U+R+P,16,7,0,23,69.6,30.4,0.0,0.3043,0.3204,E142_D6_3i_U+R+P_30JAN18_10x_1.tif,000328_409.tif
E142,U+R+P,14,14,1,29,48.3,48.3,3.4,0.5517,,E142_D6_3i_U+R+P_30JAN18_10x_2.tif,000019_410.tif
E142,U+R+P,17,2,0,19,89.5,10.5,0.0,0.1053,,E142_D6_3i_U+R+P_30JAN18_10x_3.tif,000287_411.tif
